projectName,creationDate,creationCommitHash,type,squid,component,severity,startLine,endLine,resolution,status,message,effort,debt,author
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,107,107,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,115,115,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,39f0e6a7dd8e9a8121d5c6ce55b18db4,CODE_SMELL,squid:S00100,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MINOR,122,122,,OPEN,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,5min,5min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,123,123,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,130,130,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,137,137,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,ab87b24b9d30919c5fb7c3aa963e7aec,CODE_SMELL,squid:S00100,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MINOR,145,145,,OPEN,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,5min,5min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,146,146,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,08933daabdebe7c770394b7285f2840d,CODE_SMELL,squid:S2094,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MINOR,158,158,,OPEN,"Remove this empty class, write its code or make it an ""interface"".",5min,5min,
testi,2017-06-13T11:58:13+0000,246377daa4a3c757b579b4400f78a7ac,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/PatternOptionBuilderTest.java,MAJOR,175,175,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-05T16:38:04+0000,c8896df7f4570cf778b74e800ea8c8ee,CODE_SMELL,squid:S1133,testi:src/main/java/org/apache/commons/cli/CommandLine.java,INFO,99,99,,OPEN,Do not forget to remove this deprecated code someday.,10min,10min,
testi,2017-06-05T16:38:04+0000,896c8e362480c500d494a20c93d28b92,CODE_SMELL,squid:S1133,testi:src/main/java/org/apache/commons/cli/CommandLine.java,INFO,170,170,,OPEN,Do not forget to remove this deprecated code someday.,10min,10min,
testi,2017-06-05T16:38:04+0000,896c8e362480c500d494a20c93d28b92,CODE_SMELL,squid:MissingDeprecatedCheck,testi:src/main/java/org/apache/commons/cli/CommandLine.java,MAJOR,170,170,,OPEN,Add the missing @Deprecated annotation.,5min,5min,
